state_code,state,financial_year,student_arrivals,student_departures,net_student_migration
NSW,New South Wales,2004-05,24850,7620,17230
NSW,New South Wales,2005-06,27110,8900,18210
NSW,New South Wales,2006-07,39490,8560,30930
NSW,New South Wales,2007-08,50620,9040,41580
NSW,New South Wales,2008-09,51280,10970,40310
NSW,New South Wales,2009-10,35970,14970,21000
NSW,New South Wales,2010-11,26520,17930,8590
NSW,New South Wales,2011-12,25840,16860,8980
NSW,New South Wales,2012-13,30910,15660,15250
NSW,New South Wales,2013-14,39740,15030,24710
NSW,New South Wales,2014-15,44960,15310,29650
NSW,New South Wales,2015-16,48170,15020,33150
NSW,New South Wales,2016-17,55670,15930,39740
NSW,New South Wales,2017-18,59550,20300,39250
NSW,New South Wales,2018-19,58670,25740,32930
NSW,New South Wales,2019-20,36210,39980,-3770
NSW,New South Wales,2020-21,640,21430,-20790
NSW,New South Wales,2021-22,55380,10020,45360
NSW,New South Wales,2022-23,97800,5900,91900
NSW,New South Wales,2023-24,69160,13330,55830
NSW,New South Wales,2024-25,55030,19080,35950
VIC,Victoria,2004-05,19880,5720,14160
VIC,Victoria,2005-06,23390,7180,16210
VIC,Victoria,2006-07,35490,6810,28680
VIC,Victoria,2007-08,43520,7180,36340
VIC,Victoria,2008-09,51970,8480,43490
VIC,Victoria,2009-10,32950,11830,21120
VIC,Victoria,2010-11,21540,14450,7090
VIC,Victoria,2011-12,20940,13180,7760
VIC,Victoria,2012-13,25450,12220,13230
VIC,Victoria,2013-14,35040,11920,23120
VIC,Victoria,2014-15,37910,12420,25490
VIC,Victoria,2015-16,42100,12550,29550
VIC,Victoria,2016-17,49000,13630,35370
VIC,Victoria,2017-18,53030,16520,36510
VIC,Victoria,2018-19,56530,20720,35810
VIC,Victoria,2019-20,37150,31780,5370
VIC,Victoria,2020-21,300,24670,-24370
VIC,Victoria,2021-22,46740,8250,38490
VIC,Victoria,2022-23,80000,4540,75460
VIC,Victoria,2023-24,60680,9580,51100
VIC,Victoria,2024-25,50110,14370,35740
QLD,Queensland,2004-05,9640,3880,5760
QLD,Queensland,2005-06,10110,4850,5260
QLD,Queensland,2006-07,12710,4950,7760
QLD,Queensland,2007-08,18920,4750,14170
QLD,Queensland,2008-09,23770,5490,18280
QLD,Queensland,2009-10,17550,7270,10280
QLD,Queensland,2010-11,12650,9110,3540
QLD,Queensland,2011-12,11720,8750,2970
QLD,Queensland,2012-13,13650,8510,5140
QLD,Queensland,2013-14,19430,8130,11300
QLD,Queensland,2014-15,17570,8440,9130
QLD,Queensland,2015-16,18770,7810,10960
QLD,Queensland,2016-17,21310,8190,13120
QLD,Queensland,2017-18,21950,9520,12430
