state_code,state,financial_year,direction,value,signed_value
NSW,New South Wales,2004-05,Arrivals,24850,24850
NSW,New South Wales,2004-05,Departures,7620,-7620
NSW,New South Wales,2005-06,Arrivals,27110,27110
NSW,New South Wales,2005-06,Departures,8900,-8900
NSW,New South Wales,2006-07,Arrivals,39490,39490
NSW,New South Wales,2006-07,Departures,8560,-8560
NSW,New South Wales,2007-08,Arrivals,50620,50620
NSW,New South Wales,2007-08,Departures,9040,-9040
NSW,New South Wales,2008-09,Arrivals,51280,51280
NSW,New South Wales,2008-09,Departures,10970,-10970
NSW,New South Wales,2009-10,Arrivals,35970,35970
NSW,New South Wales,2009-10,Departures,14970,-14970
NSW,New South Wales,2010-11,Arrivals,26520,26520
NSW,New South Wales,2010-11,Departures,17930,-17930
NSW,New South Wales,2011-12,Arrivals,25840,25840
NSW,New South Wales,2011-12,Departures,16860,-16860
NSW,New South Wales,2012-13,Arrivals,30910,30910
NSW,New South Wales,2012-13,Departures,15660,-15660
NSW,New South Wales,2013-14,Arrivals,39740,39740
NSW,New South Wales,2013-14,Departures,15030,-15030
NSW,New South Wales,2014-15,Arrivals,44960,44960
NSW,New South Wales,2014-15,Departures,15310,-15310
NSW,New South Wales,2015-16,Arrivals,48170,48170
NSW,New South Wales,2015-16,Departures,15020,-15020
NSW,New South Wales,2016-17,Arrivals,55670,55670
NSW,New South Wales,2016-17,Departures,15930,-15930
NSW,New South Wales,2017-18,Arrivals,59550,59550
NSW,New South Wales,2017-18,Departures,20300,-20300
NSW,New South Wales,2018-19,Arrivals,58670,58670
NSW,New South Wales,2018-19,Departures,25740,-25740
NSW,New South Wales,2019-20,Arrivals,36210,36210
NSW,New South Wales,2019-20,Departures,39980,-39980
NSW,New South Wales,2020-21,Arrivals,640,640
NSW,New South Wales,2020-21,Departures,21430,-21430
NSW,New South Wales,2021-22,Arrivals,55380,55380
NSW,New South Wales,2021-22,Departures,10020,-10020
NSW,New South Wales,2022-23,Arrivals,97800,97800
NSW,New South Wales,2022-23,Departures,5900,-5900
NSW,New South Wales,2023-24,Arrivals,69160,69160
NSW,New South Wales,2023-24,Departures,13330,-13330
NSW,New South Wales,2024-25,Arrivals,55030,55030
NSW,New South Wales,2024-25,Departures,19080,-19080
VIC,Victoria,2004-05,Arrivals,19880,19880
VIC,Victoria,2004-05,Departures,5720,-5720
VIC,Victoria,2005-06,Arrivals,23390,23390
VIC,Victoria,2005-06,Departures,7180,-7180
VIC,Victoria,2006-07,Arrivals,35490,35490
VIC,Victoria,2006-07,Departures,6810,-6810
VIC,Victoria,2007-08,Arrivals,43520,43520
VIC,Victoria,2007-08,Departures,7180,-7180
VIC,Victoria,2008-09,Arrivals,51970,51970
VIC,Victoria,2008-09,Departures,8480,-8480
VIC,Victoria,2009-10,Arrivals,32950,32950
VIC,Victoria,2009-10,Departures,11830,-11830
VIC,Victoria,2010-11,Arrivals,21540,21540
VIC,Victoria,2010-11,Departures,14450,-14450
VIC,Victoria,2011-12,Arrivals,20940,20940
VIC,Victoria,2011-12,Departures,13180,-13180
VIC,Victoria,2012-13,Arrivals,25450,25450
VIC,Victoria,2012-13,Departures,12220,-12220
VIC,Victoria,2013-14,Arrivals,35040,35040
VIC,Victoria,2013-14,Departures,11920,-11920
VIC,Victoria,2014-15,Arrivals,37910,37910
VIC,Victoria,2014-15,Departures,12420,-12420
VIC,Victoria,2015-16,Arrivals,42100,42100
VIC,Victoria,2015-16,Departures,12550,-12550
VIC,Victoria,2016-17,Arrivals,49000,49000
VIC,Victoria,2016-17,Departures,13630,-13630
VIC,Victoria,2017-18,Arrivals,53030,53030
VIC,Victoria,2017-18,Departures,16520,-16520
VIC,Victoria,2018-19,Arrivals,56530,56530
VIC,Victoria,2018-19,Departures,20720,-20720
VIC,Victoria,2019-20,Arrivals,37150,37150
VIC,Victoria,2019-20,Departures,31780,-31780
VIC,Victoria,2020-21,Arrivals,300,300
VIC,Victoria,2020-21,Departures,24670,-24670
VIC,Victoria,2021-22,Arrivals,46740,46740
VIC,Victoria,2021-22,Departures,8250,-8250
VIC,Victoria,2022-23,Arrivals,80000,80000
VIC,Victoria,2022-23,Departures,4540,-4540
VIC,Victoria,2023-24,Arrivals,60680,60680
VIC,Victoria,2023-24,Departures,9580,-9580
VIC,Victoria,2024-25,Arrivals,50110,50110
VIC,Victoria,2024-25,Departures,14370,-14370
QLD,Queensland,2004-05,Arrivals,9640,9640
QLD,Queensland,2004-05,Departures,3880,-3880
QLD,Queensland,2005-06,Arrivals,10110,10110
QLD,Queensland,2005-06,Departures,4850,-4850
QLD,Queensland,2006-07,Arrivals,12710,12710
QLD,Queensland,2006-07,Departures,4950,-4950
QLD,Queensland,2007-08,Arrivals,18920,18920
QLD,Queensland,2007-08,Departures,4750,-4750
QLD,Queensland,2008-09,Arrivals,23770,23770
QLD,Queensland,2008-09,Departures,5490,-5490
QLD,Queensland,2009-10,Arrivals,17550,17550
QLD,Queensland,2009-10,Departures,7270,-7270
QLD,Queensland,2010-11,Arrivals,12650,12650
QLD,Queensland,2010-11,Departures,9110,-9110
QLD,Queensland,2011-12,Arrivals,11720,11720
QLD,Queensland,2011-12,Departures,8750,-8750
QLD,Queensland,2012-13,Arrivals,13650,13650
QLD,Queensland,2012-13,Departures,8510,-8510
QLD,Queensland,2013-14,Arrivals,19430,19430
QLD,Queensland,2013-14,Departures,8130,-8130
QLD,Queensland,2014-15,Arrivals,17570,17570
QLD,Queensland,2014-15,Departures,8440,-8440
QLD,Queensland,2015-16,Arrivals,18770,18770
QLD,Queensland,2015-16,Departures,7810,-7810
QLD,Queensland,2016-17,Arrivals,21310,21310
QLD,Queensland,2016-17,Departures,8190,-8190
QLD,Queensland,2017-18,Arrivals,21950,21950
QLD,Queensland,2017-18,Departures,9520,-9520
QLD,Queensland,2018-19,Arrivals,24180,24180
