continent,country,students,share_total,share_continent,x0,x1,y0,y1,x_mid,y_mid,area,label_main,label_pct,font_size,continent_students,continent_share,continent_label
Asia,China,129164,0.2284,0.268,0.25,57.0611,0.25,40.0128,28.6556,20.1314,2258.9715,China,22.8%,15,481926,0.8521,Asia (85.2%)
Asia,India,97056,0.1716,0.2014,57.0611,99.75,0.25,40.0128,78.4056,20.1314,1697.4291,India,17.2%,15,481926,0.8521,Asia (85.2%)
Asia,Other Asia,86868,0.1536,0.1803,0.25,99.75,40.0128,55.2817,50.0,47.6472,1519.2495,Other Asia,15.4%,15,481926,0.8521,Asia (85.2%)
Asia,Nepal,53024,0.0938,0.11,0.25,99.75,55.2817,64.6017,50.0,59.9417,927.3459,Nepal,9.4%,15,481926,0.8521,Asia (85.2%)
Asia,Vietnam,25234,0.0446,0.0524,0.25,99.75,64.6017,69.0371,50.0,66.8194,441.3218,VN,4.5%,11,481926,0.8521,Asia (85.2%)
Asia,Bangladesh,22395,0.0396,0.0465,0.25,99.75,69.0371,72.9735,50.0,71.0053,391.67,BD,4.0%,11,481926,0.8521,Asia (85.2%)
Asia,Philippines,19001,0.0336,0.0394,0.25,99.75,72.9735,76.3133,50.0,74.6434,332.3118,PH,3.4%,11,481926,0.8521,Asia (85.2%)
Asia,Indonesia,18801,0.0332,0.039,0.25,99.75,76.3133,79.618,50.0,77.9656,328.8139,ID,3.3%,11,481926,0.8521,Asia (85.2%)
Asia,Pakistan,15528,0.0275,0.0322,0.25,99.75,79.618,82.3473,50.0,80.9827,271.5719,PK,2.7%,11,481926,0.8521,Asia (85.2%)
Asia,Sri Lanka,14855,0.0263,0.0308,0.25,99.75,82.3473,84.9584,50.0,83.6529,259.8017,LK,2.6%,11,481926,0.8521,Asia (85.2%)
Americas,Colombia,17403,0.0308,0.3547,0.25,99.75,85.4584,88.3581,50.0,86.9082,288.5146,Colombia,3.1%,11,49065,0.0868,Americas (8.7%)
Americas,Other Americas,14539,0.0257,0.2963,0.25,99.75,88.3581,90.7805,50.0,89.5693,241.034,Other Americas,2.6%,11,49065,0.0868,Americas (8.7%)
Americas,Brazil,13301,0.0235,0.2711,0.25,99.75,90.7805,92.9967,50.0,91.8886,220.5099,Brazil,2.4%,11,49065,0.0868,Americas (8.7%)
Americas,United States of America,3822,0.0068,0.0779,0.25,99.75,92.9967,93.6335,50.0,93.3151,63.3628,US,0.7%,9,49065,0.0868,Americas (8.7%)
Europe,Other Europe,5379,0.0095,0.3181,0.25,99.75,94.1335,94.9255,50.0,94.5295,78.8033,Other Europe,1.0%,9,16909,0.0299,Europe (3.0%)
Europe,United Kingdom,2669,0.0047,0.1578,0.25,99.75,94.9255,95.3185,50.0,95.122,39.1013,UK,0.5%,9,16909,0.0299,Europe (3.0%)
Europe,Spain,2440,0.0043,0.1443,0.25,99.75,95.3185,95.6777,50.0,95.4981,35.7464,Spain,0.4%,9,16909,0.0299,Europe (3.0%)
Europe,Italy,2259,0.004,0.1336,0.25,99.75,95.6777,96.0103,50.0,95.844,33.0948,Italy,0.4%,9,16909,0.0299,Europe (3.0%)
Europe,France,2203,0.0039,0.1303,0.25,99.75,96.0103,96.3347,50.0,96.1725,32.2744,France,0.4%,9,16909,0.0299,Europe (3.0%)
Europe,Germany,1959,0.0035,0.1159,0.25,99.75,96.3347,96.6231,50.0,96.4789,28.6997,Germany,0.3%,9,16909,0.0299,Europe (3.0%)
Africa,Kenya,6360,0.0112,0.4816,0.25,99.75,97.1231,98.0069,50.0,97.565,87.9299,Kenya,1.1%,9,13207,0.0234,Africa (2.3%)
Africa,Other Africa,3109,0.0055,0.2354,0.25,99.75,98.0069,98.4389,50.0,98.2229,42.9834,Other Africa,0.5%,9,13207,0.0234,Africa (2.3%)
Africa,Nigeria,1299,0.0023,0.0984,0.25,99.75,98.4389,98.6194,50.0,98.5291,17.9593,Nigeria,,9,13207,0.0234,Africa (2.3%)
Africa,Zimbabwe,1238,0.0022,0.0937,0.25,99.75,98.6194,98.7914,50.0,98.7054,17.1159,Zim.,,9,13207,0.0234,Africa (2.3%)
Africa,Mauritius,1201,0.0021,0.0909,0.25,99.75,98.7914,98.9583,50.0,98.8748,16.6044,Mau.,,9,13207,0.0234,Africa (2.3%)
Oceania,Fiji,2832,0.005,0.6324,0.25,99.75,99.4583,99.6428,50.0,99.5505,18.3585,Fiji,0.5%,9,4478,0.0079,Oceania (0.8%)
Oceania,Papua New Guinea,1294,0.0023,0.289,0.25,99.75,99.6428,99.7271,50.0,99.6849,8.3884,PNG,,9,4478,0.0079,Oceania (0.8%)
Oceania,Other Oceania,352,0.0006,0.0786,0.25,99.75,99.7271,99.75,50.0,99.7385,2.2819,Other Oceania,,9,4478,0.0079,Oceania (0.8%)
