flow_id,source,target,target_name,enrolments,x,y,t
China to NSW,China,NSW,New South Wales,62154,0.0,0.05,0
China to NSW,China,NSW,New South Wales,62154,0.03571,0.04999,1
China to NSW,China,NSW,New South Wales,62154,0.07143,0.04997,2
China to NSW,China,NSW,New South Wales,62154,0.10714,0.04994,3
China to NSW,China,NSW,New South Wales,62154,0.14286,0.04989,4
China to NSW,China,NSW,New South Wales,62154,0.17857,0.04983,5
China to NSW,China,NSW,New South Wales,62154,0.21429,0.04977,6
China to NSW,China,NSW,New South Wales,62154,0.25,0.04969,7
China to NSW,China,NSW,New South Wales,62154,0.28571,0.04961,8
China to NSW,China,NSW,New South Wales,62154,0.32143,0.04952,9
China to NSW,China,NSW,New South Wales,62154,0.35714,0.04942,10
China to NSW,China,NSW,New South Wales,62154,0.39286,0.04932,11
China to NSW,China,NSW,New South Wales,62154,0.42857,0.04922,12
China to NSW,China,NSW,New South Wales,62154,0.46429,0.04912,13
China to NSW,China,NSW,New South Wales,62154,0.5,0.04901,14
China to NSW,China,NSW,New South Wales,62154,0.53571,0.04891,15
China to NSW,China,NSW,New South Wales,62154,0.57143,0.0488,16
China to NSW,China,NSW,New South Wales,62154,0.60714,0.0487,17
China to NSW,China,NSW,New South Wales,62154,0.64286,0.0486,18
China to NSW,China,NSW,New South Wales,62154,0.67857,0.0485,19
China to NSW,China,NSW,New South Wales,62154,0.71429,0.04841,20
China to NSW,China,NSW,New South Wales,62154,0.75,0.04833,21
China to NSW,China,NSW,New South Wales,62154,0.78571,0.04826,22
China to NSW,China,NSW,New South Wales,62154,0.82143,0.04819,23
China to NSW,China,NSW,New South Wales,62154,0.85714,0.04813,24
China to NSW,China,NSW,New South Wales,62154,0.89286,0.04809,25
China to NSW,China,NSW,New South Wales,62154,0.92857,0.04805,26
China to NSW,China,NSW,New South Wales,62154,0.96429,0.04803,27
China to NSW,China,NSW,New South Wales,62154,1.0,0.04802,28
China to VIC,China,VIC,Victoria,37466,0.0,0.13014,0
China to VIC,China,VIC,Victoria,37466,0.03571,0.13111,1
China to VIC,China,VIC,Victoria,37466,0.07143,0.13393,2
China to VIC,China,VIC,Victoria,37466,0.10714,0.13846,3
China to VIC,China,VIC,Victoria,37466,0.14286,0.14455,4
China to VIC,China,VIC,Victoria,37466,0.17857,0.15206,5
China to VIC,China,VIC,Victoria,37466,0.21429,0.16085,6
China to VIC,China,VIC,Victoria,37466,0.25,0.17078,7
China to VIC,China,VIC,Victoria,37466,0.28571,0.1817,8
China to VIC,China,VIC,Victoria,37466,0.32143,0.19348,9
China to VIC,China,VIC,Victoria,37466,0.35714,0.20596,10
China to VIC,China,VIC,Victoria,37466,0.39286,0.21902,11
China to VIC,China,VIC,Victoria,37466,0.42857,0.2325,12
China to VIC,China,VIC,Victoria,37466,0.46429,0.24627,13
China to VIC,China,VIC,Victoria,37466,0.5,0.26018,14
China to VIC,China,VIC,Victoria,37466,0.53571,0.27409,15
China to VIC,China,VIC,Victoria,37466,0.57143,0.28785,16
China to VIC,China,VIC,Victoria,37466,0.60714,0.30134,17
China to VIC,China,VIC,Victoria,37466,0.64286,0.31439,18
China to VIC,China,VIC,Victoria,37466,0.67857,0.32688,19
China to VIC,China,VIC,Victoria,37466,0.71429,0.33866,20
China to VIC,China,VIC,Victoria,37466,0.75,0.34958,21
China to VIC,China,VIC,Victoria,37466,0.78571,0.35951,22
China to VIC,China,VIC,Victoria,37466,0.82143,0.3683,23
China to VIC,China,VIC,Victoria,37466,0.85714,0.37581,24
China to VIC,China,VIC,Victoria,37466,0.89286,0.3819,25
China to VIC,China,VIC,Victoria,37466,0.92857,0.38643,26
China to VIC,China,VIC,Victoria,37466,0.96429,0.38925,27
China to VIC,China,VIC,Victoria,37466,1.0,0.39022,28
China to QLD,China,QLD,Queensland,13519,0.0,0.17115,0
China to QLD,China,QLD,Queensland,13519,0.03571,0.17295,1
China to QLD,China,QLD,Queensland,13519,0.07143,0.17815,2
China to QLD,China,QLD,Queensland,13519,0.10714,0.18649,3
China to QLD,China,QLD,Queensland,13519,0.14286,0.19772,4
China to QLD,China,QLD,Queensland,13519,0.17857,0.21157,5
China to QLD,China,QLD,Queensland,13519,0.21429,0.22778,6
China to QLD,China,QLD,Queensland,13519,0.25,0.24608,7
China to QLD,China,QLD,Queensland,13519,0.28571,0.26622,8
China to QLD,China,QLD,Queensland,13519,0.32143,0.28794,9
China to QLD,China,QLD,Queensland,13519,0.35714,0.31096,10
China to QLD,China,QLD,Queensland,13519,0.39286,0.33504,11
China to QLD,China,QLD,Queensland,13519,0.42857,0.3599,12
China to QLD,China,QLD,Queensland,13519,0.46429,0.38528,13
China to QLD,China,QLD,Queensland,13519,0.5,0.41093,14
China to QLD,China,QLD,Queensland,13519,0.53571,0.43657,15
China to QLD,China,QLD,Queensland,13519,0.57143,0.46196,16
China to QLD,China,QLD,Queensland,13519,0.60714,0.48682,17
China to QLD,China,QLD,Queensland,13519,0.64286,0.51089,18
China to QLD,China,QLD,Queensland,13519,0.67857,0.53391,19
China to QLD,China,QLD,Queensland,13519,0.71429,0.55563,20
China to QLD,China,QLD,Queensland,13519,0.75,0.57577,21
China to QLD,China,QLD,Queensland,13519,0.78571,0.59407,22
China to QLD,China,QLD,Queensland,13519,0.82143,0.61028,23
China to QLD,China,QLD,Queensland,13519,0.85714,0.62413,24
China to QLD,China,QLD,Queensland,13519,0.89286,0.63536,25
