flow_id,source,target,target_name,enrolments,t,x,y
China to NSW,China,NSW,New South Wales,62154,0,-0.015,0.05
China to NSW,China,NSW,New South Wales,62154,1,0.49999999999999994,0.05
China to NSW,China,NSW,New South Wales,62154,2,0.49999999999999994,0.04802
China to NSW,China,NSW,New South Wales,62154,3,1.015,0.04802
China to VIC,China,VIC,Victoria,37466,0,-0.015,0.13014
China to VIC,China,VIC,Victoria,37466,1,0.49999999999999994,0.13014
China to VIC,China,VIC,Victoria,37466,2,0.49999999999999994,0.39022
China to VIC,China,VIC,Victoria,37466,3,1.015,0.39022
China to QLD,China,QLD,Queensland,13519,0,-0.015,0.17115
China to QLD,China,QLD,Queensland,13519,1,0.49999999999999994,0.17115
China to QLD,China,QLD,Queensland,13519,2,0.49999999999999994,0.6507
China to QLD,China,QLD,Queensland,13519,3,1.015,0.6507
China to WA,China,WA,Western Australia,4994,0,-0.015,0.18605
China to WA,China,WA,Western Australia,4994,1,0.49999999999999994,0.18605
China to WA,China,WA,Western Australia,4994,2,0.49999999999999994,0.78046
China to WA,China,WA,Western Australia,4994,3,1.015,0.78046
China to SA,China,SA,South Australia,6199,0,-0.015,0.19505
China to SA,China,SA,South Australia,6199,1,0.49999999999999994,0.19505
China to SA,China,SA,South Australia,6199,2,0.49999999999999994,0.87086
China to SA,China,SA,South Australia,6199,3,1.015,0.87086
China to ACT,China,ACT,Australian Capital Territory,4178,0,-0.015,0.2034
China to ACT,China,ACT,Australian Capital Territory,4178,1,0.49999999999999994,0.2034
China to ACT,China,ACT,Australian Capital Territory,4178,2,0.49999999999999994,0.93683
China to ACT,China,ACT,Australian Capital Territory,4178,3,1.015,0.93683
China to TAS,China,TAS,Tasmania,450,0,-0.015,0.20712
China to TAS,China,TAS,Tasmania,450,1,0.49999999999999994,0.20712
China to TAS,China,TAS,Tasmania,450,2,0.49999999999999994,0.96934
China to TAS,China,TAS,Tasmania,450,3,1.015,0.96934
China to NT,China,NT,Northern Territory,204,0,-0.015,0.20765
China to NT,China,NT,Northern Territory,204,1,0.49999999999999994,0.20765
China to NT,China,NT,Northern Territory,204,2,0.49999999999999994,0.99447
China to NT,China,NT,Northern Territory,204,3,1.015,0.99447
India to NSW,India,NSW,New South Wales,24710,0,-0.015,0.24569
India to NSW,India,NSW,New South Wales,24710,1,0.49999999999999994,0.24569
India to NSW,India,NSW,New South Wales,24710,2,0.49999999999999994,0.11514
India to NSW,India,NSW,New South Wales,24710,3,1.015,0.11514
India to VIC,India,VIC,Victoria,40846,0,-0.015,0.29843
India to VIC,India,VIC,Victoria,40846,1,0.49999999999999994,0.29843
India to VIC,India,VIC,Victoria,40846,2,0.49999999999999994,0.45072
India to VIC,India,VIC,Victoria,40846,3,1.015,0.45072
India to QLD,India,QLD,Queensland,12228,0,-0.015,0.34112
India to QLD,India,QLD,Queensland,12228,1,0.49999999999999994,0.34112
India to QLD,India,QLD,Queensland,12228,2,0.49999999999999994,0.67059
India to QLD,India,QLD,Queensland,12228,3,1.015,0.67059
India to WA,India,WA,Western Australia,7637,0,-0.015,0.3571
India to WA,India,WA,Western Australia,7637,1,0.49999999999999994,0.3571
India to WA,India,WA,Western Australia,7637,2,0.49999999999999994,0.79022
India to WA,India,WA,Western Australia,7637,3,1.015,0.79022
India to SA,India,SA,South Australia,8182,0,-0.015,0.36983
India to SA,India,SA,South Australia,8182,1,0.49999999999999994,0.36983
India to SA,India,SA,South Australia,8182,2,0.49999999999999994,0.88197
India to SA,India,SA,South Australia,8182,3,1.015,0.88197
India to ACT,India,ACT,Australian Capital Territory,2013,0,-0.015,0.37803
India to ACT,India,ACT,Australian Capital Territory,2013,1,0.49999999999999994,0.37803
India to ACT,India,ACT,Australian Capital Territory,2013,2,0.49999999999999994,0.94161
India to ACT,India,ACT,Australian Capital Territory,2013,3,1.015,0.94161
India to TAS,India,TAS,Tasmania,690,0,-0.015,0.38021
India to TAS,India,TAS,Tasmania,690,1,0.49999999999999994,0.38021
India to TAS,India,TAS,Tasmania,690,2,0.49999999999999994,0.97022
India to TAS,India,TAS,Tasmania,690,3,1.015,0.97022
India to NT,India,NT,Northern Territory,750,0,-0.015,0.38136
India to NT,India,NT,Northern Territory,750,1,0.49999999999999994,0.38136
India to NT,India,NT,Northern Territory,750,2,0.49999999999999994,0.99521
India to NT,India,NT,Northern Territory,750,3,1.015,0.99521
Nepal to NSW,Nepal,NSW,New South Wales,32898,0,-0.015,0.42643
Nepal to NSW,Nepal,NSW,New South Wales,32898,1,0.49999999999999994,0.42643
Nepal to NSW,Nepal,NSW,New South Wales,32898,2,0.49999999999999994,0.15965
Nepal to NSW,Nepal,NSW,New South Wales,32898,3,1.015,0.15965
Nepal to VIC,Nepal,VIC,Victoria,8044,0,-0.015,0.45937
Nepal to VIC,Nepal,VIC,Victoria,8044,1,0.49999999999999994,0.45937
Nepal to VIC,Nepal,VIC,Victoria,8044,2,0.49999999999999994,0.4885
Nepal to VIC,Nepal,VIC,Victoria,8044,3,1.015,0.4885
Nepal to QLD,Nepal,QLD,Queensland,3536,0,-0.015,0.46868
Nepal to QLD,Nepal,QLD,Queensland,3536,1,0.49999999999999994,0.46868
Nepal to QLD,Nepal,QLD,Queensland,3536,2,0.49999999999999994,0.68277
Nepal to QLD,Nepal,QLD,Queensland,3536,3,1.015,0.68277
Nepal to WA,Nepal,WA,Western Australia,2886,0,-0.015,0.47385
Nepal to WA,Nepal,WA,Western Australia,2886,1,0.49999999999999994,0.47385
Nepal to WA,Nepal,WA,Western Australia,2886,2,0.49999999999999994,0.79835
Nepal to WA,Nepal,WA,Western Australia,2886,3,1.015,0.79835
Nepal to SA,Nepal,SA,South Australia,2496,0,-0.015,0.47818
Nepal to SA,Nepal,SA,South Australia,2496,1,0.49999999999999994,0.47818
Nepal to SA,Nepal,SA,South Australia,2496,2,0.49999999999999994,0.89022
Nepal to SA,Nepal,SA,South Australia,2496,3,1.015,0.89022
Nepal to ACT,Nepal,ACT,Australian Capital Territory,1214,0,-0.015,0.48116
Nepal to ACT,Nepal,ACT,Australian Capital Territory,1214,1,0.49999999999999994,0.48116
Nepal to ACT,Nepal,ACT,Australian Capital Territory,1214,2,0.49999999999999994,0.94411
Nepal to ACT,Nepal,ACT,Australian Capital Territory,1214,3,1.015,0.94411
Nepal to TAS,Nepal,TAS,Tasmania,877,0,-0.015,0.48285
Nepal to TAS,Nepal,TAS,Tasmania,877,1,0.49999999999999994,0.48285
Nepal to TAS,Nepal,TAS,Tasmania,877,2,0.49999999999999994,0.97143
Nepal to TAS,Nepal,TAS,Tasmania,877,3,1.015,0.97143
Nepal to NT,Nepal,NT,Northern Territory,1073,0,-0.015,0.48441
Nepal to NT,Nepal,NT,Northern Territory,1073,1,0.49999999999999994,0.48441
Nepal to NT,Nepal,NT,Northern Territory,1073,2,0.49999999999999994,0.99661
Nepal to NT,Nepal,NT,Northern Territory,1073,3,1.015,0.99661
Vietnam to NSW,Vietnam,NSW,New South Wales,8777,0,-0.015,0.51034
Vietnam to NSW,Vietnam,NSW,New South Wales,8777,1,0.49999999999999994,0.51034
Vietnam to NSW,Vietnam,NSW,New South Wales,8777,2,0.49999999999999994,0.19184
Vietnam to NSW,Vietnam,NSW,New South Wales,8777,3,1.015,0.19184
Vietnam to VIC,Vietnam,VIC,Victoria,10048,0,-0.015,0.52548
Vietnam to VIC,Vietnam,VIC,Victoria,10048,1,0.49999999999999994,0.52548
Vietnam to VIC,Vietnam,VIC,Victoria,10048,2,0.49999999999999994,0.50248
Vietnam to VIC,Vietnam,VIC,Victoria,10048,3,1.015,0.50248
Vietnam to QLD,Vietnam,QLD,Queensland,1978,0,-0.015,0.53516
Vietnam to QLD,Vietnam,QLD,Queensland,1978,1,0.49999999999999994,0.53516
Vietnam to QLD,Vietnam,QLD,Queensland,1978,2,0.49999999999999994,0.68703
Vietnam to QLD,Vietnam,QLD,Queensland,1978,3,1.015,0.68703
