flow_id,source,target,target_name,enrolments,x,y,x2,y2
China to NSW,China,NSW,New South Wales,62154,0.0,0.05,1.0,0.04802
China to VIC,China,VIC,Victoria,37466,0.0,0.13014,1.0,0.39022
China to QLD,China,QLD,Queensland,13519,0.0,0.17115,1.0,0.6507
China to WA,China,WA,Western Australia,4994,0.0,0.18605,1.0,0.78046
China to SA,China,SA,South Australia,6199,0.0,0.19505,1.0,0.87086
China to ACT,China,ACT,Australian Capital Territory,4178,0.0,0.2034,1.0,0.93683
China to TAS,China,TAS,Tasmania,450,0.0,0.20712,1.0,0.96934
China to NT,China,NT,Northern Territory,204,0.0,0.20765,1.0,0.99447
India to NSW,India,NSW,New South Wales,24710,0.0,0.24569,1.0,0.11514
India to VIC,India,VIC,Victoria,40846,0.0,0.29843,1.0,0.45072
India to QLD,India,QLD,Queensland,12228,0.0,0.34112,1.0,0.67059
India to WA,India,WA,Western Australia,7637,0.0,0.3571,1.0,0.79022
India to SA,India,SA,South Australia,8182,0.0,0.36983,1.0,0.88197
India to ACT,India,ACT,Australian Capital Territory,2013,0.0,0.37803,1.0,0.94161
India to TAS,India,TAS,Tasmania,690,0.0,0.38021,1.0,0.97022
India to NT,India,NT,Northern Territory,750,0.0,0.38136,1.0,0.99521
Nepal to NSW,Nepal,NSW,New South Wales,32898,0.0,0.42643,1.0,0.15965
Nepal to VIC,Nepal,VIC,Victoria,8044,0.0,0.45937,1.0,0.4885
Nepal to QLD,Nepal,QLD,Queensland,3536,0.0,0.46868,1.0,0.68277
Nepal to WA,Nepal,WA,Western Australia,2886,0.0,0.47385,1.0,0.79835
Nepal to SA,Nepal,SA,South Australia,2496,0.0,0.47818,1.0,0.89022
Nepal to ACT,Nepal,ACT,Australian Capital Territory,1214,0.0,0.48116,1.0,0.94411
Nepal to TAS,Nepal,TAS,Tasmania,877,0.0,0.48285,1.0,0.97143
Nepal to NT,Nepal,NT,Northern Territory,1073,0.0,0.48441,1.0,0.99661
Vietnam to NSW,Vietnam,NSW,New South Wales,8777,0.0,0.51034,1.0,0.19184
Vietnam to VIC,Vietnam,VIC,Victoria,10048,0.0,0.52548,1.0,0.50248
Vietnam to QLD,Vietnam,QLD,Queensland,1978,0.0,0.53516,1.0,0.68703
Vietnam to WA,Vietnam,WA,Western Australia,1540,0.0,0.53799,1.0,0.80177
Vietnam to SA,Vietnam,SA,South Australia,2190,0.0,0.54099,1.0,0.89384
Vietnam to ACT,Vietnam,ACT,Australian Capital Territory,327,0.0,0.54301,1.0,0.9453
Vietnam to TAS,Vietnam,TAS,Tasmania,175,0.0,0.54342,1.0,0.97225
Vietnam to NT,Vietnam,NT,Northern Territory,199,0.0,0.54372,1.0,0.9976
Bangladesh to NSW,Bangladesh,NSW,New South Wales,10633,0.0,0.57043,1.0,0.20684
Bangladesh to VIC,Bangladesh,VIC,Victoria,5268,0.0,0.58322,1.0,0.51431
Bangladesh to QLD,Bangladesh,QLD,Queensland,1263,0.0,0.58848,1.0,0.68953
Bangladesh to WA,Bangladesh,WA,Western Australia,2621,0.0,0.5916,1.0,0.80499
Bangladesh to SA,Bangladesh,SA,South Australia,1463,0.0,0.59489,1.0,0.89666
Bangladesh to ACT,Bangladesh,ACT,Australian Capital Territory,252,0.0,0.59627,1.0,0.94574
Bangladesh to TAS,Bangladesh,TAS,Tasmania,424,0.0,0.59681,1.0,0.97271
Bangladesh to NT,Bangladesh,NT,Northern Territory,471,0.0,0.59753,1.0,0.99811
Other countries to NSW,Other countries,NSW,New South Wales,82972,0.0,0.68266,1.0,0.27916
Other countries to VIC,Other countries,VIC,Victoria,67220,0.0,0.80348,1.0,0.57032
Other countries to QLD,Other countries,QLD,Queensland,44068,0.0,0.893,1.0,0.72456
Other countries to WA,Other countries,WA,Western Australia,26569,0.0,0.94983,1.0,0.82754
Other countries to SA,Other countries,SA,South Australia,11524,0.0,0.98047,1.0,0.9067
Other countries to ACT,Other countries,ACT,Australian Capital Territory,3271,0.0,0.99237,1.0,0.94847
Other countries to TAS,Other countries,TAS,Tasmania,2119,0.0,0.99671,1.0,0.97467
Other countries to NT,Other countries,NT,Northern Territory,985,0.0,0.99921,1.0,0.99924
