country,students,share,x0,x1,y0,y1,x_mid,y_mid
"China",129164,0.2284,0.0000,57.0966,0.0000,39.9964,28.5483,19.9982
"India",97056,0.1716,57.0966,100.0000,0.0000,39.9964,78.5483,19.9982
"Nepal",53024,0.0937,0.0000,67.7554,39.9964,53.8326,33.8777,46.9145
"Vietnam",25234,0.0446,67.7554,100.0000,39.9964,53.8326,83.8777,46.9145
"Bangladesh",22395,0.0396,0.0000,54.0994,53.8326,61.1516,27.0497,57.4921
"Philippines",19001,0.0336,54.0994,100.0000,53.8326,61.1516,77.0497,57.4921
"Indonesia",18801,0.0332,0.0000,51.9307,61.1516,67.5526,25.9654,64.3521
"Colombia",17403,0.0308,51.9307,100.0000,61.1516,67.5526,75.9654,64.3521
"Pakistan",15528,0.0275,0.0000,51.1075,67.5526,72.9244,25.5538,70.2385
"Sri Lanka",14855,0.0263,51.1075,100.0000,67.5526,72.9244,75.5538,70.2385
"Other countries",153140,0.2708,0.0000,100.0000,72.9244,100.0000,50.0000,86.4622
