year,sector,students
2019,ELICOS,50467
2019,Higher Education,267232
2019,Non-award,15455
2019,Schools,19623
2019,VET,133257
2020,ELICOS,49454
2020,Higher Education,286082
2020,Non-award,14875
2020,Schools,18119
2020,VET,160726
2021,ELICOS,17089
2021,Higher Education,260519
2021,Non-award,7415
2021,Schools,11855
2021,VET,164654
2022,ELICOS,8424
2022,Higher Education,216600
2022,Non-award,5333
2022,Schools,7892
2022,VET,144507
2023,ELICOS,50228
2023,Higher Education,232591
2023,Non-award,8416
2023,Schools,10512
2023,VET,161202
2024,ELICOS,59277
2024,Higher Education,290823
2024,Non-award,10948
2024,Schools,14723
2024,VET,204606
2025,ELICOS,38850
2025,Higher Education,336436
2025,Non-award,11538
2025,Schools,15645
2025,VET,215925
2026,ELICOS,26243
2026,Higher Education,347120
2026,Non-award,10182
2026,Schools,14626
2026,VET,167430
